Ind	Pop	subpop	size	sizeClass	lon	lat
AS327CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS096CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS181CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS160CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS138CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS180CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS157CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS093CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS257CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS222CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS178CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS097CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS182CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS221CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS179CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS304CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS100CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS300CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS102CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS204CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS135CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS195CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS330CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS074CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS141CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS162CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS134CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS165CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS136CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS323CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS226CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS072CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS253CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS252CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS220CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS073CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS164CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS137CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS196CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS076CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS291CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS302CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS200CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS328CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS156CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS161CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS325CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS133CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS163CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS078CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS183CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
AS298CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS299CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS248CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS105CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS075CS_37cont	km41Large	km41	cont	Large	-59.809444	-2.427778
AS322CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS224CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS256CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS132CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS305CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS324CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS056CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS166CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS167CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS331CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS268CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS106CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS158CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS273CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS201CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS055CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS155CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS255CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS159CS_dim100	dimLarge	dim100	100ha	Large	-60.095	-2.341944
AS321CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS103CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS320CS_Cfcont	EsteioLarge	Cabofrio	cont	Large	-59.908056	-2.397778
AS140CS_dim10	dimSmall	dim10	10ha	Small	-60.112778	-2.336111
AS104CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS225CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS098CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS297CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS218CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS202CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS267CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS217CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS250CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS295CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS271CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS197CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS245CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS095CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS198CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS293CS_florcont	EsteioLarge	flor	cont	Large	-59.843333	-2.417222
AS057CS_41cont	km41Large	km41	cont	Large	-59.743194	-2.418583
AS246CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS276CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS199CS_pa1	PASmall	pa1	1ha	Small	-59.97	-2.372917
AS269CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS101CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS219CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS228CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS274CS_col1	EsteioSmall	col1	1ha	Small	-59.875833	-2.406111
AS247CS_col10	EsteioSmall	col10	10ha	Small	-59.871111	-2.404167
AS107CS_dim1	dimSmall	dim1	1ha	Small	-60.100833	-2.336944
AS223CS_pa10	PASmall	pa10	10ha	Small	-59.9575	-2.355
AS184CS_dimcont	dimLarge	dimcont	cont	Large	-60.130833	-2.331389
